index,time
1,2620.60000000149
2,2643.5
3,2645.300000000745
4,2588.7999999970198
5,2577.60000000149
6,2582
7,2581.599999997765
8,2593.60000000149
9,2595
10,2577.599999997765
11,2586.5
12,2596.599999997765
13,2584.800000000745
14,2586.699999999255
15,2622.300000000745
16,2593.300000000745
17,2626.89999999851
18,2610.7000000029802
19,2751.300000000745
20,2926.800000000745
21,3347.800000000745
22,2826.2999999970198
23,2677.300000000745
24,2595.2000000029802
25,2599.800000000745
26,2771
27,2649.800000000745
28,2674.699999999255
29,2587.89999999851
30,2594
31,2631.2000000029802
32,2674.39999999851
33,2603.89999999851
34,2600.60000000149
35,2603.10000000149
36,2587.5
37,2668.199999999255
38,2614
39,2656.2999999970198
40,2581.2000000029802
41,2582.800000000745
42,2775.5
43,2763.10000000149
44,2659
45,2900.800000000745
46,2739.60000000149
47,2825.800000000745
48,2724.2999999970198
49,2660.39999999851
50,2782.10000000149
51,2775.699999999255
52,2661.5
53,2677.39999999851
54,2595.800000000745
55,2584.800000000745
56,2679.400000002235
57,2593.900000002235
58,2589.800000000745
59,2585.300000000745
60,2618
61,2731.60000000149
62,2683.400000002235
63,2598.800000000745
64,2638.400000002235
65,2664.800000000745
66,2589
67,2586
68,2591
69,2588.7999999970198
70,2581.5
71,2588.699999999255
72,2639.099999997765
73,2591.5
74,2580.2999999970198
75,2583.699999999255
76,2592.199999999255
77,2596.099999997765
78,2579.699999999255
79,2583.7000000029802
80,2586.099999997765
81,2592.60000000149
82,2584.599999997765
83,2597.300000000745
84,2583.39999999851
85,2587.5
86,2586.900000002235
87,2581.699999999255
88,2668.89999999851
89,2598.5
90,2583.599999997765
91,2587.099999997765
92,2592.900000002235
93,2612.400000002235
94,2622.300000000745
95,2586.800000000745
96,2582
97,2589.2000000029802
98,2604
99,2593
100,2652.60000000149
