index,time
1,2591.300000000745
2,2586.199999999255
3,2586.10000000149
4,2589.400000002235
5,2582.099999997765
6,2587.60000000149
7,2581.900000002235
8,2586
9,2581.60000000149
10,2587.699999999255
11,2608.10000000149
12,2582.199999999255
13,2581.7000000029802
14,2583.800000000745
15,2579.199999999255
16,2581.89999999851
17,2593
18,2584.10000000149
19,2580.89999999851
20,2586.900000002235
21,2584.10000000149
22,2580.400000002235
23,2586.199999999255
24,2591.39999999851
25,2581.60000000149
26,2576.60000000149
27,2608.60000000149
28,2612.699999999255
29,2597.2999999970198
30,2790.800000000745
31,2756.60000000149
32,3040.39999999851
33,2919.39999999851
34,2624.300000000745
35,2603.89999999851
36,2590.099999997765
37,2603.300000000745
38,2623.300000000745
39,2780.099999997765
40,3614.5
41,3883.7999999970198
42,4670.699999999255
43,4538.5
44,3286.199999999255
45,3247.10000000149
46,3269.5
47,3502.39999999851
48,3210.699999999255
49,2739.10000000149
50,2641.199999999255
51,2648.60000000149
52,2653.599999997765
53,2630.699999999255
54,2699.800000000745
55,2643.60000000149
56,2772.099999997765
57,2727.800000000745
58,2624.300000000745
59,2724.300000000745
60,2687.099999997765
61,2629.800000000745
62,2652.300000000745
63,2611.39999999851
64,2704.199999999255
65,2748.10000000149
66,2736.699999999255
67,2706.89999999851
68,2657.199999999255
69,2711.60000000149
70,2748.199999999255
71,2630.300000000745
72,2612
73,2793.300000000745
74,2904.39999999851
75,2644.199999999255
76,2603.699999999255
77,2896.300000000745
78,3003.5
79,2865.60000000149
80,2665.300000000745
81,2796.89999999851
82,2718.400000002235
83,2693.300000000745
84,2623.89999999851
85,2732.300000000745
86,2772.900000002235
87,2700
88,2610.199999999255
89,2787.10000000149
90,2704.699999999255
91,2672.199999999255
92,2713.900000002235
93,2680.5
94,2606.5
95,2600.89999999851
96,2603.89999999851
97,2591.099999997765
98,2611.39999999851
99,2598.89999999851
100,2607.7999999970198
